TITLE	N-GQD_BC
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:08:09
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    87,00690
MAXY	   100,03275
MINY	    78,27451
XYDATA
852,3824	96,9612
853,3466	96,9479
854,3109	96,903
855,2751	96,8248
856,2393	96,7206
857,2036	96,6002
858,1678	96,4706
859,1320	96,3333
860,0963	96,1863
861,0605	96,0276
862,0247	95,8572
862,9890	95,6759
863,9532	95,4823
864,9174	95,2721
865,8817	95,0391
866,8459	94,7804
867,8101	94,4999
868,7744	94,2089
869,7386	93,9212
870,7028	93,6451
871,6671	93,3779
872,6313	93,1055
873,5955	92,8088
874,5598	92,4736
875,5240	92,0968
876,4882	91,6857
877,4525	91,2519
878,4167	90,8039
879,3809	90,3455
880,3452	89,8799
881,3094	89,415
882,2736	88,9668
883,2379	88,5548
884,2021	88,1954
885,1663	87,8977
886,1306	87,6647
887,0948	87,4998
888,0590	87,4125
889,0233	87,4164
889,9875	87,5214
890,9517	87,7225
891,9160	87,9952
892,8802	88,2998
893,8444	88,5954
894,8087	88,8556
895,7729	89,0777
896,7371	89,2821
897,7014	89,5023
898,6656	89,7714
899,6298	90,1124
900,5941	90,5338
901,5583	91,0308
902,5225	91,5883
903,4868	92,1831
904,4510	92,7853
905,4152	93,3607
906,3795	93,8766
907,3437	94,3097
908,3079	94,6525
909,2722	94,9149
910,2364	95,1181
911,2006	95,2846
912,1649	95,429
913,1291	95,5541
914,0933	95,6539
915,0576	95,7206
916,0218	95,7514
916,9860	95,7508
917,9503	95,7291
918,9145	95,6962
919,8787	95,6578
920,8430	95,6132
921,8072	95,558
922,7714	95,4879
923,7357	95,4023
924,6999	95,304
925,6641	95,1976
926,6284	95,0851
927,5926	94,9636
928,5568	94,8258
929,5211	94,6632
930,4853	94,4697
931,4495	94,2449
932,4138	93,9937
933,3780	93,7247
934,3422	93,4466
935,3065	93,1661
936,2707	92,8857
937,2349	92,6042
938,1992	92,318
939,1634	92,0232
940,1276	91,7167
941,0919	91,3961
942,0561	91,0581
943,0203	90,6966
943,9846	90,3036
944,9488	89,8707
945,9130	89,3928
946,8773	88,8703
947,8415	88,3079
948,8057	87,7109
949,7700	87,0808
950,7342	86,414
951,6984	85,7041
952,6627	84,9486
953,6269	84,1548
954,5911	83,3432
955,5554	82,5463
956,5196	81,8045
957,4838	81,1598
958,4481	80,6513
959,4123	80,3091
960,3765	80,1499
961,3408	80,1727
962,3050	80,3568
963,2692	80,6658
964,2335	81,0552
965,1977	81,4831
966,1619	81,9197
967,1262	82,3504
968,0904	82,7736
969,0546	83,1939
970,0189	83,6157
970,9831	84,0409
971,9473	84,4709
972,9116	84,9102
973,8758	85,3695
974,8400	85,8637
975,8043	86,4071
976,7685	87,0057
977,7327	87,6514
978,6970	88,3211
979,6612	88,9813
980,6254	89,5969
981,5897	90,1424
982,5539	90,6074
983,5181	90,9971
984,4824	91,3254
985,4466	91,6048
986,4108	91,8391
987,3751	92,0218
988,3393	92,1405
989,3035	92,1838
990,2678	92,1469
991,2320	92,0336
992,1962	91,8543
993,1605	91,623
994,1247	91,3545
995,0889	91,0634
996,0532	90,7628
997,0174	90,4622
997,9816	90,1652
998,9459	89,8689
999,9101	89,5649
1000,8743	89,2429
1001,8386	88,8958
1002,8028	88,5227
1003,7670	88,1284
1004,7313	87,7202
1005,6955	87,3014
1006,6597	86,868
1007,6240	86,4077
1008,5882	85,9061
1009,5524	85,3541
1010,5167	84,7551
1011,4809	84,1254
1012,4451	83,4888
1013,4094	82,8677
1014,3736	82,2761
1015,3378	81,7199
1016,3021	81,2028
1017,2663	80,7338
1018,2305	80,3307
1019,1948	80,016
1020,1590	79,8096
1021,1232	79,7221
1022,0875	79,7554
1023,0517	79,9081
1024,0160	80,1797
1024,9802	80,5689
1025,9445	81,0644
1026,9087	81,6336
1027,8729	82,2179
1028,8372	82,7398
1029,8014	83,1213
1030,7656	83,3046
1031,7299	83,268
1032,6941	83,0307
1033,6583	82,6451
1034,6226	82,1815
1035,5868	81,7091
1036,5510	81,281
1037,5153	80,9269
1038,4795	80,6546
1039,4437	80,458
1040,4080	80,3266
1041,3722	80,2508
1042,3364	80,2225
1043,3007	80,2308
1044,2649	80,2594
1045,2291	80,2872
1046,1934	80,2943
1047,1576	80,2683
1048,1218	80,2077
1049,0861	80,118
1050,0503	80,0046
1051,0145	79,8674
1051,9788	79,7015
1052,9430	79,5031
1053,9072	79,2774
1054,8715	79,0402
1055,8357	78,8144
1056,7999	78,6205
1057,7642	78,4703
1058,7284	78,3654
1059,6926	78,3013
1060,6569	78,2745
1061,6211	78,2859
1062,5853	78,3406
1063,5496	78,4439
1064,5138	78,5976
1065,4780	78,7974
1066,4423	79,0341
1067,4065	79,2952
1068,3707	79,5676
1069,3350	79,8392
1070,2992	80,1012
