TITLE	CA
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/05
TIME	12:01:37
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    68,00873
MAXY	    99,03922
MINY	    16,35128
XYDATA
655,6788	66,6659
656,6430	66,8355
657,6072	67,0292
658,5715	67,2333
659,5357	67,4316
660,4999	67,6108
661,4642	67,7636
662,4284	67,8875
663,3926	67,9831
664,3569	68,0553
665,3211	68,1196
666,2853	68,2114
667,2496	68,383
668,2138	68,657
669,1780	68,9677
670,1423	69,2172
671,1065	69,3739
672,0707	69,465
673,0350	69,5324
673,9992	69,6132
674,9634	69,7312
675,9277	69,8878
676,8919	70,0594
677,8561	70,2097
678,8204	70,3103
679,7846	70,3539
680,7488	70,3537
681,7131	70,3355
682,6773	70,3267
683,6415	70,349
684,6058	70,4174
685,5700	70,5406
686,5342	70,7168
687,4985	70,9262
688,4627	71,1269
689,4269	71,2658
690,3912	71,3036
691,3554	71,2393
692,3196	71,1145
693,2839	70,9926
694,2481	70,9222
695,2123	70,9097
696,1766	70,9181
697,1408	70,8949
698,1050	70,8108
699,0693	70,6806
700,0335	70,5513
700,9977	70,4677
701,9620	70,4417
702,9262	70,4469
703,8904	70,4395
704,8547	70,3904
705,8189	70,3026
706,7831	70,2041
707,7474	70,1227
708,7116	70,0641
709,6758	70,0108
710,6401	69,9382
711,6043	69,8346
712,5685	69,7102
713,5328	69,5894
714,4970	69,4955
715,4612	69,4308
716,4255	69,4039
717,3897	69,3902
718,3539	69,3685
719,3182	69,3192
720,2824	69,2288
721,2466	69,0952
722,2109	68,9287
723,1751	68,7472
724,1393	68,5661
725,1036	68,3901
726,0678	68,2107
727,0320	68,0138
727,9963	67,791
728,9605	67,5471
729,9247	67,298
730,8890	67,0597
731,8532	66,8357
732,8174	66,6138
733,7817	66,3732
734,7459	66,0967
735,7101	65,782
736,6744	65,4433
737,6386	65,1077
738,6028	64,8078
739,5671	64,5777
740,5313	64,4503
741,4955	64,4569
742,4598	64,6232
743,4240	64,962
744,3882	65,4653
745,3525	66,0999
746,3167	66,8122
747,2809	67,541
748,2452	68,2338
749,2094	68,8587
750,1736	69,4056
751,1379	69,8772
752,1021	70,2761
753,0663	70,5985
754,0306	70,8378
754,9948	70,9953
755,9590	71,0873
756,9233	71,1424
757,8875	71,1873
758,8517	71,2318
759,8160	71,2633
760,7802	71,254
761,7444	71,1783
762,7087	71,0275
763,6729	70,8155
764,6371	70,5724
765,6014	70,3322
766,5656	70,1209
767,5298	69,9512
768,4941	69,8228
769,4583	69,7256
770,4225	69,6451
771,3868	69,567
772,3510	69,4835
773,3152	69,3979
774,2795	69,327
775,2437	69,2982
776,2079	69,3403
777,1722	69,4726
778,1364	69,6975
779,1006	70,0002
780,0649	70,3569
781,0291	70,7475
781,9933	71,1648
782,9576	71,6165
783,9218	72,1168
784,8860	72,674
785,8503	73,2796
786,8145	73,9072
787,7787	74,5218
788,7430	75,0972
789,7072	75,629
790,6714	76,1378
791,6357	76,6572
792,5999	77,2129
793,5641	77,806
794,5284	78,4099
795,4926	78,9838
796,4568	79,4946
797,4211	79,9339
798,3853	80,3201
799,3495	80,6869
800,3138	81,0664
801,2780	81,4787
802,2422	81,9314
803,2065	82,4254
804,1707	82,9587
805,1349	83,5251
806,0992	84,1117
807,0634	84,6996
808,0276	85,2702
808,9919	85,8145
809,9561	86,336
810,9203	86,8475
811,8846	87,3626
812,8488	87,8884
813,8130	88,4229
814,7773	88,9578
815,7415	89,4819
816,7057	89,9841
817,6700	90,4546
818,6342	90,8865
819,5984	91,2777
820,5627	91,6313
821,5269	91,9545
822,4911	92,2548
823,4554	92,5367
824,4196	92,8008
825,3839	93,0449
826,3481	93,2671
827,3123	93,4677
828,2766	93,651
829,2408	93,8246
830,2050	93,9989
831,1693	94,1819
832,1335	94,3758
833,0977	94,5731
834,0620	94,759
835,0262	94,9191
835,9904	95,0472
836,9547	95,1498
837,9189	95,2418
838,8831	95,3365
839,8474	95,4364
840,8116	95,531
841,7758	95,602
842,7401	95,633
843,7043	95,6158
844,6685	95,5516
845,6328	95,4482
846,5970	95,3161
847,5612	95,1668
848,5255	95,0123
849,4897	94,8647
850,4539	94,7333
851,4182	94,6221
852,3824	94,5296
