TITLE	N-GQD_Glu
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:45:01
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    85,06151
MAXY	    99,12162
MINY	    22,16119
XYDATA
655,6788	81,1506
656,6430	81,277
657,6072	81,5752
658,5715	81,9941
659,5357	82,5066
660,4999	83,12
661,4642	83,8111
662,4284	84,4488
663,3926	84,7737
664,3569	84,4229
665,3211	82,9706
666,2853	80,0879
667,2496	76,0863
668,2138	72,5908
669,1780	71,5964
670,1423	73,1679
671,1065	75,7558
672,0707	78,0656
673,0350	79,562
673,9992	80,1864
674,9634	80,1377
675,9277	79,7591
676,8919	79,3977
677,8561	79,2576
678,8204	79,3591
679,7846	79,616
680,7488	79,9309
681,7131	80,2407
682,6773	80,518
683,6415	80,7571
684,6058	80,9679
685,5700	81,1758
686,5342	81,4177
687,4985	81,7295
688,4627	82,1304
689,4269	82,6143
690,3912	83,1557
691,3554	83,7229
692,3196	84,2904
693,2839	84,8443
694,2481	85,3814
695,2123	85,9033
696,1766	86,411
697,1408	86,9031
698,1050	87,3789
699,0693	87,8422
700,0335	88,3014
700,9977	88,7611
701,9620	89,211
702,9262	89,6212
703,8904	89,952
704,8547	90,176
705,8189	90,2956
706,7831	90,3413
707,7474	90,3514
708,7116	90,3492
709,6758	90,3379
710,6401	90,3103
711,6043	90,2578
712,5685	90,1576
713,5328	89,9458
714,4970	89,5067
715,4612	88,7364
716,4255	87,5599
717,3897	86,0706
718,3539	84,5452
719,3182	83,3825
720,2824	82,9366
721,2466	83,3361
722,2109	84,4198
723,1751	85,8516
724,1393	87,2974
725,1036	88,5506
726,0678	89,5542
727,0320	90,3471
727,9963	90,9921
728,9605	91,5288
729,9247	91,9679
730,8890	92,3113
731,8532	92,5722
732,8174	92,7763
733,7817	92,9512
734,7459	93,1149
735,7101	93,2744
736,6744	93,4308
737,6386	93,5839
738,6028	93,7327
739,5671	93,8733
740,5313	93,9998
741,4955	94,1083
742,4598	94,2028
743,4240	94,2948
744,3882	94,3979
745,3525	94,5179
746,3167	94,6468
747,2809	94,7647
748,2452	94,8505
749,2094	94,8967
750,1736	94,9196
751,1379	94,956
752,1021	95,0447
753,0663	95,2015
754,0306	95,4027
754,9948	95,59
755,9590	95,6987
756,9233	95,6948
757,8875	95,5969
758,8517	95,4689
759,8160	95,3859
760,7802	95,3957
761,7444	95,4975
762,7087	95,6489
763,6729	95,7942
764,6371	95,8951
765,6014	95,9462
766,5656	95,9686
767,5298	95,9904
768,4941	96,0285
769,4583	96,082
770,4225	96,1382
771,3868	96,1838
772,3510	96,2133
773,3152	96,2294
774,2795	96,2384
775,2437	96,244
776,2079	96,2464
777,1722	96,2453
778,1364	96,2453
779,1006	96,2579
780,0649	96,2965
781,0291	96,3684
781,9933	96,4671
782,9576	96,5718
783,9218	96,6564
784,8860	96,7026
785,8503	96,7107
786,8145	96,6995
787,7787	96,6947
788,7430	96,7142
789,7072	96,7573
790,6714	96,8075
791,6357	96,8441
792,5999	96,8581
793,5641	96,8593
794,5284	96,8715
795,4926	96,9182
796,4568	97,0088
797,4211	97,1326
798,3853	97,2646
799,3495	97,3788
800,3138	97,4603
801,2780	97,5097
802,2422	97,5397
803,2065	97,567
804,1707	97,6057
805,1349	97,6647
806,0992	97,7474
807,0634	97,8526
808,0276	97,9745
808,9919	98,1016
809,9561	98,2186
810,9203	98,3094
811,8846	98,3629
812,8488	98,3762
813,8130	98,3554
814,7773	98,3119
815,7415	98,2568
816,7057	98,197
817,6700	98,1355
818,6342	98,0733
819,5984	98,0112
820,5627	97,9482
821,5269	97,8789
822,4911	97,7916
823,4554	97,6722
824,4196	97,5116
825,3839	97,3124
826,3481	97,0889
827,3123	96,8584
828,2766	96,6317
829,2408	96,4088
830,2050	96,186
831,1693	95,9688
832,1335	95,7823
833,0977	95,668
834,0620	95,6692
835,0262	95,8107
835,9904	96,0854
836,9547	96,4557
837,9189	96,8661
838,8831	97,261
839,8474	97,5989
840,8116	97,8591
841,7758	98,0401
842,7401	98,154
843,7043	98,2169
844,6685	98,2416
845,6328	98,2337
846,5970	98,1936
847,5612	98,1236
848,5255	98,0467
849,4897	97,9706
850,4539	97,9179
851,4182	97,9025
852,3824	97,9206
