TITLE	N-GQD_CA
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:22:01
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    79,59370
MAXY	    99,73621
MINY	    42,39575
XYDATA
1140,6882	66,7616
1141,6525	66,9215
1142,6167	67,0959
1143,5809	67,2801
1144,5452	67,4743
1145,5094	67,6835
1146,4736	67,9149
1147,4379	68,1734
1148,4021	68,4601
1149,3663	68,7722
1150,3306	69,1058
1151,2948	69,4576
1152,2590	69,8242
1153,2233	70,2006
1154,1875	70,5809
1155,1517	70,9596
1156,1160	71,3353
1157,0802	71,7128
1158,0444	72,1009
1159,0087	72,5092
1159,9729	72,9428
1160,9371	73,4007
1161,9014	73,8761
1162,8656	74,3596
1163,8298	74,8426
1164,7941	75,3194
1165,7583	75,7878
1166,7225	76,2491
1167,6868	76,7068
1168,6510	77,1658
1169,6152	77,6306
1170,5795	78,1035
1171,5437	78,5827
1172,5079	79,0624
1173,4722	79,534
1174,4364	79,9899
1175,4006	80,4272
1176,3649	80,8492
1177,3291	81,2637
1178,2933	81,6779
1179,2576	82,0932
1180,2218	82,5037
1181,1860	82,8994
1182,1503	83,2724
1183,1145	83,6221
1184,0787	83,9555
1185,0430	84,2826
1186,0072	84,6097
1186,9714	84,936
1187,9357	85,2547
1188,8999	85,5576
1189,8641	85,8406
1190,8284	86,1056
1191,7926	86,3595
1192,7568	86,6104
1193,7211	86,8639
1194,6853	87,1222
1195,6495	87,3837
1196,6138	87,6445
1197,5780	87,8996
1198,5422	88,1442
1199,5065	88,3746
1200,4707	88,5889
1201,4349	88,7871
1202,3992	88,9713
1203,3634	89,1448
1204,3276	89,3118
1205,2919	89,4762
1206,2561	89,6403
1207,2203	89,8038
1208,1846	89,9634
1209,1488	90,1148
1210,1130	90,2541
1211,0773	90,3797
1212,0415	90,4916
1213,0057	90,5904
1213,9700	90,6755
1214,9342	90,746
1215,8984	90,8034
1216,8627	90,853
1217,8269	90,9042
1218,7911	90,9654
1219,7554	91,0401
1220,7196	91,1236
1221,6838	91,2052
1222,6481	91,2738
1223,6123	91,3237
1224,5765	91,357
1225,5408	91,3832
1226,5050	91,4139
1227,4692	91,458
1228,4335	91,5188
1229,3977	91,5935
1230,3619	91,6755
1231,3262	91,7581
1232,2904	91,8371
1233,2546	91,9125
1234,2189	91,9865
1235,1831	92,0604
1236,1473	92,1308
1237,1116	92,1908
1238,0758	92,233
1239,0400	92,2561
1240,0043	92,2675
1240,9685	92,2813
1241,9327	92,3113
1242,8970	92,3636
1243,8612	92,4332
1244,8254	92,5071
1245,7897	92,5712
1246,7539	92,6172
1247,7181	92,6446
1248,6824	92,6596
1249,6466	92,6713
1250,6108	92,6888
1251,5751	92,7186
1252,5393	92,7638
1253,5035	92,8228
1254,4678	92,8898
1255,4320	92,9577
1256,3962	93,0221
1257,3605	93,0835
1258,3247	93,1475
1259,2889	93,2203
1260,2532	93,3039
1261,2174	93,3937
1262,1816	93,4815
1263,1459	93,5602
1264,1101	93,628
1265,0743	93,688
1266,0386	93,7452
1267,0028	93,8036
1267,9670	93,8653
1268,9313	93,9318
1269,8955	94,0054
1270,8597	94,0886
1271,8240	94,1826
1272,7882	94,2852
1273,7524	94,3913
1274,7167	94,4951
1275,6809	94,5929
1276,6451	94,6844
1277,6094	94,7721
1278,5736	94,8597
1279,5378	94,9503
1280,5021	95,0454
1281,4663	95,1449
1282,4305	95,2469
1283,3948	95,3488
1284,3590	95,4481
1285,3232	95,5437
1286,2875	95,6364
1287,2517	95,7291
1288,2159	95,8246
1289,1802	95,9234
1290,1444	96,0223
1291,1086	96,1163
1292,0729	96,2015
1293,0371	96,2782
1294,0013	96,3517
1294,9656	96,4296
1295,9298	96,518
1296,8940	96,618
1297,8583	96,7255
1298,8225	96,8334
1299,7867	96,9356
1300,7510	97,029
1301,7152	97,114
1302,6794	97,192
1303,6437	97,2643
1304,6079	97,3309
1305,5721	97,391
1306,5364	97,4441
1307,5006	97,4912
1308,4648	97,5348
1309,4291	97,5783
1310,3933	97,6252
1311,3575	97,6775
1312,3218	97,7348
1313,2860	97,7944
1314,2502	97,8524
1315,2145	97,9052
1316,1787	97,9504
1317,1429	97,9872
1318,1072	98,0156
1319,0714	98,0368
1320,0356	98,0537
1320,9999	98,0703
1321,9641	98,0905
1322,9283	98,1171
1323,8926	98,1497
1324,8568	98,1853
1325,8210	98,218
1326,7853	98,242
1327,7495	98,2532
1328,7137	98,2513
1329,6780	98,2402
1330,6422	98,2259
1331,6064	98,2138
1332,5707	98,205
1333,5349	98,1953
1334,4991	98,1764
1335,4634	98,1402
1336,4276	98,0843
1337,3918	98,0172
1338,3561	97,9599
1339,3203	97,9647
1340,2845	98,032
1341,2488	98,1357
1342,2130	98,2525
1343,1772	98,3613
1344,1415	98,4495
1345,1057	98,5128
1346,0699	98,5519
1347,0342	98,5716
1347,9984	98,5782
1348,9626	98,5775
1349,9269	98,5736
1350,8911	98,5683
1351,8553	98,5625
1352,8196	98,5586
1353,7838	98,5606
1354,7480	98,5719
1355,7123	98,5916
1356,6765	98,6111
1357,6407	98,6149
1358,6050	98,5844
1359,5692	98,5039
1360,5334	98,3684
1361,4977	98,1948
1362,4619	98,0227
1363,4261	97,8898
1364,3904	97,8036
1365,3546	97,741
1366,3188	97,6713
1367,2831	97,5741
1368,2473	97,4446
1369,2115	97,2893
1370,1758	97,1158
1371,1400	96,9248
1372,1042	96,7109
1373,0685	96,4745
1374,0327	96,2339
1374,9969	96,0223
1375,9612	95,8655
1376,9254	95,7625
1377,8896	95,692
1378,8539	95,6308
1379,8181	95,5656
1380,7823	95,4951
1381,7466	95,4235
1382,7108	95,3531
1383,6750	95,2806
1384,6393	95,1994
1385,6035	95,1056
1386,5677	95,003
1387,5320	94,9017
1388,4962	94,8065
1389,4604	94,7094
1390,4247	94,5946
1391,3889	94,4488
1392,3531	94,2683
1393,3174	94,0647
1394,2816	93,8643
1395,2458	93,6974
1396,2101	93,5767
1397,1743	93,4883
1398,1385	93,4072
1399,1028	93,3184
1400,0670	93,2205
1401,0313	93,1168
1401,9955	93,0075
1402,9597	92,8905
1403,9240	92,7673
1404,8882	92,6476
1405,8524	92,5451
1406,8167	92,4674
1407,7809	92,4105
1408,7451	92,3649
1409,7094	92,3246
1410,6736	92,2918
1411,6378	92,2715
1412,6021	92,2631
1413,5663	92,256
1414,5305	92,2335
1415,4948	92,1804
1416,4590	92,0916
1417,4232	91,9826
1418,3875	91,8918
1419,3517	91,8541
1420,3159	91,8667
1421,2802	91,8995
1422,2444	91,929
1423,2086	91,9492
1424,1729	91,9647
1425,1371	91,9801
1426,1013	91,9939
1427,0656	92,0004
1428,0298	91,9951
1428,9940	91,9795
1429,9583	91,9618
1430,9225	91,9494
1431,8867	91,9428
1432,8510	91,9353
1433,8152	91,9211
1434,7794	91,9034
1435,7437	91,9006
1436,7079	91,9387
1437,6721	92,0268
1438,6364	92,1471
1439,6006	92,2754
1440,5648	92,3978
1441,5291	92,5084
1442,4933	92,6028
1443,4575	92,6759
1444,4218	92,7251
1445,3860	92,7553
1446,3502	92,7811
1447,3145	92,8229
1448,2787	92,896
1449,2429	92,9995
1450,2072	93,1168
1451,1714	93,2266
1452,1356	93,3105
1453,0999	93,3531
1454,0641	93,3403
1455,0283	93,2694
1455,9926	93,1893
1456,9568	93,2361
1457,9210	93,4992
1458,8853	93,8639
1459,8495	94,187
1460,8137	94,4267
1461,7780	94,5954
1462,7422	94,7187
1463,7064	94,8282
1464,6707	94,9565
1465,6349	95,1168
1466,5991	95,2901
1467,5634	95,4426
1468,5276	95,5468
1469,4918	95,5819
1470,4561	95,5293
1471,4203	95,3829
1472,3845	95,1862
1473,3488	95,0496
1474,3130	95,0563
1475,2772	95,175
1476,2415	95,3269
1477,2057	95,4638
1478,1699	95,5733
1479,1342	95,6612
1480,0984	95,7389
1481,0626	95,8156
1482,0269	95,8926
1482,9911	95,962
1483,9553	96,0092
1484,9196	96,0166
1485,8838	95,9681
1486,8480	95,8583
1487,8123	95,7153
1488,7765	95,6222
1489,7407	95,6679
1490,7050	95,8441
1491,6692	96,0615
1492,6334	96,2442
1493,5977	96,3561
1494,5619	96,3832
1495,5261	96,3248
1496,4904	96,2079
1497,4546	96,1005
1498,4188	96,0741
1499,3831	96,1364
1500,3473	96,2391
1501,3115	96,3328
1502,2758	96,3872
1503,2400	96,3808
1504,2042	96,2826
1505,1685	96,0422
1506,1327	95,6289
1507,0969	95,1883
1508,0612	95,02
1509,0254	95,133
1509,9896	95,3237
1510,9539	95,4802
1511,9181	95,5737
1512,8823	95,5979
1513,8466	95,5486
1514,8108	95,4277
1515,7750	95,2521
1516,7393	95,0528
1517,7035	94,8553
1518,6677	94,6611
1519,6320	94,4536
1520,5962	94,2289
1521,5604	94,0185
1522,5247	93,8704
1523,4889	93,8045
1524,4531	93,8028
1525,4174	93,8338
1526,3816	93,8745
1527,3458	93,9135
1528,3101	93,9435
1529,2743	93,9528
1530,2385	93,9226
1531,2028	93,8332
1532,1670	93,6823
1533,1312	93,5066
1534,0955	93,3688
1535,0597	93,3037
1536,0239	93,2911
1536,9882	93,2762
1537,9524	93,1863
1538,9166	92,9286
1539,8809	92,4415
1540,8451	91,8856
1541,8093	91,6201
1542,7736	91,7059
1543,7378	91,9404
1544,7020	92,1816
1545,6663	92,3794
1546,6305	92,5198
1547,5947	92,599
1548,5590	92,6169
1549,5232	92,5776
1550,4874	92,4915
1551,4517	92,3772
1552,4159	92,2554
1553,3801	92,1388
1554,3444	92,0222
1555,3086	91,8804
1556,2728	91,6685
1557,2371	91,3456
1558,2013	90,9839
1559,1655	90,8159
1560,1298	90,9039
1561,0940	91,083
1562,0582	91,2396
1563,0225	91,3439
1563,9867	91,3944
1564,9509	91,3934
1565,9152	91,342
1566,8794	91,2432
1567,8436	91,111
1568,8079	90,9787
1569,7721	90,8853
1570,7363	90,8427
1571,7006	90,8274
1572,6648	90,801
1573,6290	90,7281
1574,5933	90,5872
1575,5575	90,3945
1576,5217	90,2218
1577,4860	90,1421
1578,4502	90,1492
1579,4144	90,184
1580,3787	90,1971
1581,3429	90,1655
1582,3071	90,0862
1583,2714	89,9697
1584,2356	89,8324
1585,1998	89,6867
1586,1641	89,5368
1587,1283	89,3816
1588,0925	89,2214
1589,0568	89,0592
1590,0210	88,8983
1590,9852	88,7373
1591,9495	88,5704
1592,9137	88,3923
1593,8779	88,2032
1594,8422	88,0095
1595,8064	87,8191
1596,7706	87,6343
1597,7349	87,4499
1598,6991	87,2561
1599,6633	87,0449
1600,6276	86,8141
1601,5918	86,5685
1602,5560	86,3174
1603,5203	86,0698
1604,4845	85,8289
1605,4487	85,591
1606,4130	85,348
1607,3772	85,0927
1608,3414	84,8244
1609,3057	84,5517
1610,2699	84,2872
1611,2341	84,0359
1612,1984	83,7872
1613,1626	83,5149
1614,1268	83,1815
1615,0911	82,7567
1616,0553	82,2615
1617,0195	81,7909
1617,9838	81,4309
1618,9480	81,1724
1619,9122	80,9454
1620,8765	80,6843
1621,8407	80,3582
1622,8049	79,985
1623,7692	79,6256
1624,7334	79,3366
1625,6976	79,1195
1626,6619	78,9306
1627,6261	78,7286
1628,5903	78,5048
1629,5546	78,2766
1630,5188	78,0604
