Fichero De Datos De SpectraSuite
++++++++++++++++++++++++++++++++++++
Fecha: Fri Oct 04 14:22:23 CEST 2024
Usuario: users
Presente Oscuro Del Espectro: Sí
La Referencia de Presente Del Espectro De: No
Muestreados de los componentes de Número de espectros: 1
Espectrómetros: QEB0653
Tiempo de integración (usec): 5000000 (QEB0653)
Promedio de Espectros Hechos un: 1 (QEB0653)
El Alisar Del Furgón: 0 (QEB0653)
Párrafo de de Corregir del la del del de Eléctrica del obscuridad: No (QEB0653)
Estrobo/Lámpara Permitido: No (QEB0653)
Correct for Detector Non-linearity: No (QEB0653)
Párrafo de de Corregir del la del del de Externa del luz: No (QEB0653)
Procesado del espectro de Número de pixeles en: 1044
>>>>> Comienza Data<<<<< Espectral Procesado Del EL
554,98	95,00
555,75	92,00
556,52	105,00
557,30	90,00
558,07	83,00
558,84	62,00
559,61	86,00
560,39	67,00
561,16	65,00
561,93	84,00
562,70	89,00
563,47	78,00
564,25	86,00
565,02	70,00
565,79	67,00
566,56	83,00
567,33	64,00
568,10	66,00
568,88	40,00
569,65	40,00
570,42	69,00
571,19	58,00
571,96	71,00
572,73	42,00
573,50	51,00
574,27	57,00
575,04	53,00
575,81	38,00
576,59	54,00
577,36	68,00
578,13	47,00
578,90	74,00
579,67	49,00
580,44	45,00
581,21	52,00
581,98	48,00
582,75	60,00
583,52	47,00
584,29	47,00
585,06	39,00
585,83	67,00
586,60	67,00
587,37	28,00
588,13	56,00
588,90	54,00
589,67	37,00
590,44	58,00
591,21	50,00
591,98	29,00
592,75	36,00
593,52	48,00
594,29	27,00
595,06	41,00
595,82	23,00
596,59	23,00
597,36	17,00
598,13	39,00
598,90	34,00
599,67	20,00
600,43	15,00
601,20	22,00
601,97	27,00
602,74	25,00
603,51	25,00
604,27	51,00
605,04	24,00
605,81	40,00
606,58	28,00
607,34	47,00
608,11	15,00
608,88	37,00
609,65	29,00
610,41	22,00
611,18	29,00
611,95	62,00
612,71	28,00
613,48	5,00
614,25	25,00
615,01	31,00
615,78	19,00
616,55	35,00
617,31	47,00
618,08	51,00
618,85	27,00
619,61	39,00
620,38	32,00
621,15	55,00
621,91	35,00
622,68	8,00
623,44	40,00
624,21	10,00
624,97	22,00
625,74	31,00
626,51	33,00
627,27	28,00
628,04	10,00
628,80	36,00
629,57	33,00
630,33	11,00
631,10	12,00
631,86	-5,00
632,63	9,00
633,39	26,00
634,16	19,00
634,92	31,00
635,69	30,00
636,45	5,00
637,21	15,00
637,98	7,00
638,74	1,00
639,51	14,00
640,27	-7,00
641,03	16,00
641,80	32,00
642,56	53,00
643,33	24,00
644,09	21,00
644,85	7,00
645,62	3,00
646,38	21,00
647,14	20,00
647,91	13,00
648,67	19,00
649,43	8,00
650,20	8,00
650,96	7,00
651,72	-4,00
652,49	22,00
653,25	32,00
654,01	20,00
654,77	26,00
655,54	-2,00
656,30	35,00
657,06	12,00
657,82	15,00
658,59	6,00
659,35	8,00
660,11	13,00
660,87	27,00
661,63	11,00
662,39	-4,00
663,16	12,00
663,92	26,00
664,68	-4,00
665,44	14,00
666,20	12,00
666,96	6,00
667,73	-1,00
668,49	7,00
669,25	-17,00
670,01	33,00
670,77	-8,00
671,53	12,00
672,29	22,00
673,05	7,00
673,81	31,00
674,57	31,00
675,33	1,00
676,09	7,00
676,85	4,00
677,61	-3,00
678,37	35,00
679,13	-8,00
679,89	18,00
680,65	12,00
681,41	33,00
682,17	4,00
682,93	23,00
683,69	16,00
684,45	-6,00
685,21	15,00
685,97	14,00
686,73	29,00
687,49	20,00
688,25	-7,00
689,01	-3,00
689,77	-10,00
690,53	13,00
691,29	27,00
692,04	-3,00
692,80	5,00
693,56	2,00
694,32	9,00
695,08	0,00
695,84	-11,00
696,59	11,00
697,35	9,00
698,11	16,00
698,87	-3,00
699,63	9,00
700,38	3,00
701,14	2,00
701,90	27,00
702,66	12,00
703,42	4,00
704,17	2,00
704,93	4,00
705,69	16,00
706,44	12,00
707,20	7,00
707,96	25,00
708,72	13,00
709,47	5,00
710,23	14,00
710,99	0,00
711,74	25,00
712,50	0,00
713,26	-9,00
714,01	7,00
714,77	6,00
715,53	-3,00
716,28	9,00
717,04	15,00
717,79	-10,00
718,55	3,00
719,31	0,00
720,06	1,00
720,82	1,00
721,57	8,00
722,33	21,00
723,08	2,00
723,84	-13,00
724,60	29,00
725,35	16,00
726,11	13,00
726,86	-13,00
727,62	19,00
728,37	-9,00
729,13	-3,00
729,88	19,00
730,64	8,00
731,39	-15,00
732,14	8,00
732,90	2,00
733,65	-5,00
734,41	3,00
